ADC,Temp_datasheet_C,Temp_refit_cubic_C,Refit_minus_datasheet_C
53,55.290349955778765,56.781482572888784,1.4911326171100185
54,54.58631918756512,55.96576129792603,1.3794421103609125
55,53.89176011744541,55.16121801886182,1.2694579014164091
56,53.206297459864096,54.367722741143616,1.16142528127952
57,52.52957535426551,53.585145470218905,1.055570115953394
58,51.861256003586455,52.813356211535186,0.9521002079487317
59,51.201018428884126,52.05222497053992,0.8512065416557917
60,50.54855732837823,51.30162175268062,0.7530644243023872
61,49.90549393214398,50.56141656340471,0.6559226312607294
62,49.2803739019152,49.83147940815973,0.5511055062445323
63,48.66206074441291,49.11168029239312,0.4496195479802054
64,48.05030720820552,48.401889221552395,0.3515820133468779
65,47.444877033585875,47.70197620108502,0.25709916749914186
66,46.84554427066755,47.011811236438454,0.16626696577090172
67,46.25209264848129,46.33126433306021,0.07917168457892387
68,45.66431499052934,45.66020549639775,-0.004109494131590452
69,45.082012672718726,44.998504731898585,-0.0835079408201409
70,44.50499512000518,44.346032045010155,-0.1589630749950217
71,43.933079338443775,43.70265744117997,-0.23042189726380258
72,43.36608947966486,43.068250925855494,-0.2978385538093633
73,42.803856435081855,42.442682504484225,-0.36117393059763003
74,42.24621745739365,41.82582218251363,-0.4203952748800148
75,41.69301580717258,41.217539965391204,-0.4754758417813747
76,41.144100422533874,40.61770585856443,-0.526394563969447
77,40.59932561006548,40.02618986748075,-0.573135742584725
78,40.05855075536046,39.442861997587706,-0.6156887577727517
79,39.56093574506839,38.86759225433272,-0.6933434907356713
80,39.071556738369026,38.30025064316333,-0.7713060952056949
81,38.585487471324555,37.74070716952697,-0.8447803017975843
82,38.10261518459911,37.18883183887113,-0.9137833457279783
83,37.62283067759378,36.644494656643346,-0.9783360209504366
84,37.14602812547178,36.107565628291006,-1.0384624971807739
85,36.67210490664963,35.57791475926165,-1.0941901473879767
86,36.20096144000722,35.055412055002776,-1.1455493850044434
87,35.732501031128976,34.53992752096181,-1.1925735101671648
88,35.266629726944004,34.031331162586255,-1.2352985643577483
89,34.80325617818172,33.52949298532361,-1.2737631928581123
90,34.34229150910427,33.03428299462137,-1.3080085144829
91,33.8836491940195,32.54557119592697,-1.3380779980925297
92,33.42724494011369,32.063227594687895,-1.3640173454257933
93,32.97299657617928,31.587122196351654,-1.385874379827623
94,32.520823946842334,31.117125006365736,-1.4036989404765983
95,32.07064881192466,30.653106030177593,-1.4175427817470698
96,31.622394750600144,30.19493527323472,-1.4274594773654243
97,31.175987070029773,29.742482740984602,-1.4335043290451708
98,30.731352718181057,29.29561843887469,-1.4357342793063665
99,30.288420200558146,28.85421237235251,-1.4342078282056363
100,29.85035858867588,28.418134546865495,-1.432224041810386
101,29.419937835595547,27.98725496786119,-1.432682867734357
102,28.990981305110815,27.56144364078702,-1.4295376643237958
103,28.563424368715616,27.14057057109049,-1.4228537976251268
104,28.137203564127702,26.724505764219067,-1.412697799908635
105,27.71225653203212,26.31311922562026,-1.3991373064118626
106,27.288521955206267,25.90628096074151,-1.382240994464759
107,26.865939499867302,25.503860975030328,-1.3620785248369742
108,26.444449759092613,25.10572927393422,-1.3387204851583938
109,26.023994198171764,24.7117558629006,-1.3122383352711644
110,25.6045151017568,24.321810747376993,-1.2827043543798062
111,25.18595552268425,23.935763932810854,-1.2501915898733955
112,24.768259232349294,23.553485424649708,-1.2147738076995864
113,24.35137067251819,23.174845228341017,-1.176525444177173
114,23.935234908470644,22.799713349332208,-1.1355215591384358
115,23.519797583368923,22.427959793070862,-1.0918377902980616
